battle_id,hero_name,hero_series,hero_type,hero_powers,hero_total_power,hero_combat,hero_speed,hero_durability,hero_intelligence,hero_heat,hero_water,hero_electricity,hero_magic,hero_stealth,villain_name,villain_species,villain_affiliation,villain_powers,villain_total_power,villain_combat,villain_speed,villain_durability,villain_intelligence,villain_heat,villain_water,villain_electricity,villain_magic,villain_stealth,terrain,battle_type,hero_terrain_bonus,villain_terrain_bonus,hero_win_probability,battle_outcome,difficulty_rating
1,Heatblast,Original Series,Classic,"Pyrokinesis, Fire Absorption, Flight",45.05,60,49,50,56,100,0,15,0,21,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Underwater,Ambush,0.92,0.964,0.4929,Loss,Hard
2,Heatblast,Original Series,Classic,"Pyrokinesis, Fire Absorption, Flight",45.05,60,49,50,56,100,0,15,0,21,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Desert,1v1,1.031,1.008,0.4887,Draw,Hard
3,Heatblast,Original Series,Classic,"Pyrokinesis, Fire Absorption, Flight",45.05,60,49,50,56,100,0,15,0,21,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Volcanic,1v1,1.028,0.988,0.4377,Win,Hard
4,Heatblast,Original Series,Classic,"Pyrokinesis, Fire Absorption, Flight",45.05,60,49,50,56,100,0,15,0,21,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,City,Chase,1.021,1.02,0.4901,Win,Hard
5,Wildmutt,Original Series,Classic,"Enhanced Senses, Agility, Sharp Claws",48.45,75,70,60,30,6,14,14,0,80,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Desert,Siege,0.989,1.008,0.3787,Loss,Hard
6,Wildmutt,Original Series,Classic,"Enhanced Senses, Agility, Sharp Claws",48.45,75,70,60,30,6,14,14,0,80,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Arctic,Chase,0.956,0.96,0.4879,Win,Hard
7,Wildmutt,Original Series,Classic,"Enhanced Senses, Agility, Sharp Claws",48.45,75,70,60,30,6,14,14,0,80,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Underwater,Siege,0.956,0.964,0.4088,Loss,Hard
8,Wildmutt,Original Series,Classic,"Enhanced Senses, Agility, Sharp Claws",48.45,75,70,60,30,6,14,14,0,80,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Space,Chase,1.045,1.04,0.4022,Win,Hard
9,Diamondhead,Original Series,Classic,"Crystallokinesis, Crystal Constructs, Durability",51.9,80,48,100,42,20,8,10,1,28,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Volcanic,1v1,0.975,0.988,0.4138,Loss,Hard
10,Diamondhead,Original Series,Classic,"Crystallokinesis, Crystal Constructs, Durability",51.9,80,48,100,42,20,8,10,1,28,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Forest,1v1,0.994,0.996,0.3949,Win,Hard
